,Classifier,True Negative,False Positive,False Negative,True Positive,Accuracy,Precision,Recall,F1 Score,ROC
0,DecisionTreeClassifier,5361,2139,2179,5321,0.7121333333333333,0.7132707774798928,0.7094666666666667,0.7113636363636364,0.7121333333333334
1,KNeighborsClassifier,4602,2898,2603,4897,0.6332666666666666,0.6282232200128287,0.6529333333333334,0.640339980385747,0.6332666666666666
2,LogisticRegression,6566,934,869,6631,0.8798,0.8765366820885657,0.8841333333333333,0.8803186193162961,0.8797999999999999
3,MultinomialNB,6488,1012,1732,5768,0.8170666666666667,0.8507374631268436,0.7690666666666667,0.8078431372549019,0.8170666666666666
4,RandomForestClassifier,6378,1122,1195,6305,0.8455333333333334,0.8489295812575737,0.8406666666666667,0.8447779192068064,0.8455333333333335
5,SVC,6558,942,954,6546,0.8736,0.874198717948718,0.8728,0.8734987990392314,0.8736
